orderDate,orderNumber,quantityOrdered,priceEach,productName,productLine,buyPrice,city,country,Sales Value,Cost of Sales,Net Profit,Total_Revenue
12-01-2004,10210,23,112.99,1996 Moto Guzzi 1100i,Motorcycles,68.99,Kita-ku,Japan,2599,1586.77,1012,2598.77
12-01-2004,10210,34,189.79,2003 Harley-Davidson Eagle Drag Bike,Motorcycles,91.02,Kita-ku,Japan,6453,3094.68,3358.18,6452.86
12-01-2004,10210,31,141.92,1980s Black Hawk Helicopter,Planes,77.27,Kita-ku,Japan,4400,2395.37,2004.15,4399.52
12-01-2004,10210,50,68.43,P-51-D Mustang,Planes,49,Kita-ku,Japan,3422,2450,971.5,3421.5
12-01-2004,10210,40,51.48,1936 Harley Davidson El Knucklehead,Motorcycles,24.23,Kita-ku,Japan,2059,969.2,1090,2059.2
12-01-2004,10210,27,100.67,1928 British Royal Navy Airplane,Planes,66.74,Kita-ku,Japan,2718,1801.98,916.11,2718.09
12-01-2004,10210,30,63.22,1960 BSA Gold Star DBD34,Motorcycles,37.32,Kita-ku,Japan,1897,1119.6,777,1896.6
12-01-2004,10210,29,56.64,Corsair F4U ( Bird Cage),Planes,29.34,Kita-ku,Japan,1643,850.86,791.7,1642.56
12-01-2004,10210,40,68.1,1900s Vintage Tri-Plane,Planes,36.23,Kita-ku,Japan,2724,1449.2,1274.8,2724
12-01-2004,10210,46,84.91,1997 BMW F650 ST,Motorcycles,66.92,Kita-ku,Japan,3906,3078.32,827.54,3905.86
12-01-2004,10210,39,57.1,1928 Ford Phaeton Deluxe,Vintage Cars,33.02,Kita-ku,Japan,2227,1287.78,939.12,2226.9
12-01-2004,10210,43,43.2,1930 Buick Marquette Phaeton,Vintage Cars,27.06,Kita-ku,Japan,1858,1163.58,694.02,1857.6
12-01-2004,10210,21,87.69,American Airlines: B767-300,Planes,51.15,Kita-ku,Japan,1841,1074.15,767.34,1841.49
12-01-2004,10210,26,93.74,America West Airlines B757-200,Planes,68.8,Kita-ku,Japan,2437,1788.8,648.44,2437.24
12-01-2004,10210,25,98.48,ATA: B757-300,Planes,59.33,Kita-ku,Japan,2462,1483.25,978.75,2462
12-01-2004,10210,31,64,F/A 18 Hornet 1/72,Planes,54.4,Kita-ku,Japan,1984,1686.4,297.6,1984
12-01-2004,10210,42,60.7,American Airlines: MD-11S,Planes,36.27,Kita-ku,Japan,2549,1523.34,1026.06,2549.4
15-01-2004,10211,41,90.92,1969 Harley Davidson Ultimate Chopper,Motorcycles,48.81,Paris,France,3728,2001.21,1726.51,3727.72
15-01-2004,10211,41,171.22,1968 Ford Mustang,Classic Cars,95.34,Paris,France,7020,3908.94,3111.08,7020.02
15-01-2004,10211,36,126.52,2002 Suzuki XREO,Motorcycles,66.27,Paris,France,4555,2385.72,2169,4554.72
15-01-2004,10211,28,79.8,1970 Plymouth Hemi Cuda,Classic Cars,31.92,Paris,France,2234,893.76,1340.64,2234.4
15-01-2004,10211,35,73.17,1969 Dodge Super Bee,Classic Cars,49.05,Paris,France,2561,1716.75,844.2,2560.95
15-01-2004,10211,28,138.17,1976 Ford Gran Torino,Classic Cars,73.49,Paris,France,3869,2057.72,1811.04,3868.76
15-01-2004,10211,46,60.3,1957 Vespa GS150,Motorcycles,32.95,Paris,France,2774,1515.7,1258.1,2773.8
15-01-2004,10211,41,148.8,1957 Corvette Convertible,Classic Cars,69.93,Paris,France,6101,2867.13,3233.67,6100.8
15-01-2004,10211,25,109.32,1997 BMW R 1100 S,Motorcycles,60.86,Paris,France,2733,1521.5,1211.5,2733
15-01-2004,10211,21,62.33,1982 Ducati 900 Monster,Motorcycles,47.1,Paris,France,1309,989.1,319.83,1308.93
15-01-2004,10211,48,52.66,1971 Alpine Renault 1600s,Classic Cars,38.58,Paris,France,2528,1851.84,675.84,2527.68
15-01-2004,10211,22,80.84,1961 Chevrolet Impala,Classic Cars,32.33,Paris,France,1778,711.26,1067.22,1778.48
15-01-2004,10211,41,39.83,1982 Ducati 996 R,Motorcycles,24.14,Paris,France,1633,989.74,643.29,1633.03
15-01-2004,10211,37,94.91,1974 Ducati 350 Mk3 Desmo,Motorcycles,56.13,Paris,France,3512,2076.81,1434.86,3511.67
15-01-2004,10211,40,70.78,2002 Yamaha YZR M1,Motorcycles,34.17,Paris,France,2831,1366.8,1464.4,2831.2
16-01-2004,10212,39,99.82,1968 Dodge Charger,Classic Cars,75.16,Madrid,Spain,3893,2931.24,961.74,3892.98
16-01-2004,10212,33,110.55,1969 Dodge Charger,Classic Cars,58.73,Madrid,Spain,3648,1938.09,1710.06,3648.15
16-01-2004,10212,29,117.48,1993 Mazda RX-7,Classic Cars,83.51,Madrid,Spain,3407,2421.79,985.13,3406.92
16-01-2004,10212,38,105.77,1965 Aston Martin DB5,Classic Cars,65.96,Madrid,Spain,4019,2506.48,1512.78,4019.26
16-01-2004,10212,20,64.68,1948 Porsche 356-A Roadster,Classic Cars,53.9,Madrid,Spain,1294,1078,215.6,1293.6
16-01-2004,10212,41,133.72,1995 Honda Civic,Classic Cars,93.89,Madrid,Spain,5483,3849.49,1633.03,5482.52
16-01-2004,10212,40,117.48,1999 Indy 500 Monte Carlo SS,Classic Cars,56.76,Madrid,Spain,4699,2270.4,2428.8,4699.2
16-01-2004,10212,40,155.79,1992 Ferrari 360 Spider red,Classic Cars,77.9,Madrid,Spain,6232,3116,3115.6,6231.6
16-01-2004,10212,45,115.85,1948 Porsche Type 356 Roadster,Classic Cars,62.16,Madrid,Spain,5213,2797.2,2416.05,5213.25
16-01-2004,10212,41,61.73,1970 Chevy Chevelle SS 454,Classic Cars,49.24,Madrid,Spain,2531,2018.84,512.09,2530.93
16-01-2004,10212,45,43.27,1966 Shelby Cobra 427 S/C,Classic Cars,29.18,Madrid,Spain,1947,1313.1,634.05,1947.15
16-01-2004,10212,45,81.78,1949 Jaguar XK 120,Classic Cars,47.25,Madrid,Spain,3680,2126.25,1553.85,3680.1
16-01-2004,10212,34,37.38,1982 Lamborghini Diablo,Classic Cars,16.24,Madrid,Spain,1271,552.16,718.76,1270.92
16-01-2004,10212,27,77.91,1969 Chevrolet Camaro Z28,Classic Cars,50.51,Madrid,Spain,2104,1363.77,739.8,2103.57
16-01-2004,10212,46,100.66,2002 Chevy Corvette,Classic Cars,62.11,Madrid,Spain,4630,2857.06,1773.3,4630.36
16-01-2004,10212,49,117.96,1956 Porsche 356A Coupe,Classic Cars,98.3,Madrid,Spain,5780,4816.7,963.34,5780.04
22-01-2004,10213,38,84.67,1932 Alfa Romeo 8C2300 Spider Sport,Vintage Cars,43.26,London,UK,3217,1643.88,1573.58,3217.46
22-01-2004,10213,25,58.44,1957 Ford Thunderbird,Classic Cars,34.21,London,UK,1461,855.25,605.75,1461
22-01-2004,10213,27,97.48,1952 Citroen-15CV,Classic Cars,72.82,London,UK,2632,1966.14,665.82,2631.96
26-01-2004,10214,30,166.6,1917 Grand Touring Sedan,Vintage Cars,86.7,Madrid,Spain,4998,2601,2397,4998
26-01-2004,10214,21,53.28,1911 Ford Town Car,Vintage Cars,33.3,Madrid,Spain,1119,699.3,419.58,1118.88
26-01-2004,10214,27,125.86,1932 Model A Ford J-Coupe,Vintage Cars,58.48,Madrid,Spain,3398,1578.96,1819.26,3398.22
26-01-2004,10214,50,167.06,1928 Mercedes-Benz SSK,Vintage Cars,72.56,Madrid,Spain,8353,3628,4725,8353
26-01-2004,10214,20,32.19,1939 Chevrolet Deluxe Coupe,Vintage Cars,22.57,Madrid,Spain,644,451.4,192.4,643.8
26-01-2004,10214,49,39.87,1938 Cadillac V-16 Presidential Limousine,Vintage Cars,20.61,Madrid,Spain,1954,1009.89,943.74,1953.63
26-01-2004,10214,44,38.57,1936 Mercedes Benz 500k Roadster,Vintage Cars,21.75,Madrid,Spain,1697,957,740.08,1697.08
29-01-2004,10215,35,205.73,1952 Alpine Renault 1300,Classic Cars,98.58,Burbank,USA,7201,3450.3,3750.25,7200.55
29-01-2004,10215,46,100.34,1940 Ford Pickup Truck,Trucks and Buses,58.33,Burbank,USA,4616,2683.18,1932.46,4615.64
29-01-2004,10215,27,92.47,1937 Lincoln Berline,Vintage Cars,60.62,Burbank,USA,2497,1636.74,859.95,2496.69
29-01-2004,10215,33,53.91,1936 Mercedes-Benz 500K Special Roadster,Vintage Cars,24.26,Burbank,USA,1779,800.58,978.45,1779.03
29-01-2004,10215,49,97.26,1913 Ford Model T Speedster,Vintage Cars,60.78,Burbank,USA,4766,2978.22,1787.52,4765.74
29-01-2004,10215,31,56.21,1934 Ford V8 Coupe,Vintage Cars,34.35,Burbank,USA,1743,1064.85,677.66,1742.51
29-01-2004,10215,49,89.01,18th Century Vintage Horse Carriage,Vintage Cars,60.74,Burbank,USA,4361,2976.26,1385.23,4361.49
29-01-2004,10215,41,84.33,1917 Maxwell Touring Car,Vintage Cars,57.54,Burbank,USA,3458,2359.14,1098.39,3457.53
29-01-2004,10215,46,42.76,1939 Cadillac Limousine,Vintage Cars,23.14,Burbank,USA,1967,1064.44,902.52,1966.96
29-01-2004,10215,39,94.47,1936 Chrysler Airflow,Vintage Cars,57.46,Burbank,USA,3684,2240.94,1443.39,3684.33
02-02-2004,10216,43,133.94,1958 Setra Bus,Trucks and Buses,77.9,Versailles,France,5759,3349.7,2409.72,5759.42
04-02-2004,10217,48,132.97,1962 LanciaA Delta 16V,Classic Cars,103.42,Singapore,Singapore,6383,4964.16,1418.4,6382.56
04-02-2004,10217,35,58.34,1926 Ford Fire Engine,Trucks and Buses,24.92,Singapore,Singapore,2042,872.2,1169.7,2041.9
04-02-2004,10217,38,118.66,1940s Ford truck,Trucks and Buses,84.76,Singapore,Singapore,4509,3220.88,1288.2,4509.08
04-02-2004,10217,28,103.51,1962 Volkswagen Microbus,Trucks and Buses,61.34,Singapore,Singapore,2898,1717.52,1180.76,2898.28
04-02-2004,10217,21,78.97,1980’s GM Manhattan Express,Trucks and Buses,53.93,Singapore,Singapore,1658,1132.53,525.84,1658.37
04-02-2004,10217,39,56.24,1996 Peterbilt 379 Stake Bed with Outrigger,Trucks and Buses,33.61,Singapore,Singapore,2193,1310.79,882.57,2193.36
04-02-2004,10217,31,90.02,1982 Camaro Z28,Classic Cars,46.53,Singapore,Singapore,2791,1442.43,1348.19,2790.62
09-02-2004,10218,22,110.46,1964 Mercedes Tour Bus,Trucks and Buses,74.86,Milan,Italy,2430,1646.92,783.2,2430.12
09-02-2004,10218,34,152.41,1992 Ferrari 360 Spider red,Classic Cars,77.9,Milan,Italy,5182,2648.6,2533.34,5181.94
10-02-2004,10219,48,94.8,1957 Chevy Pickup,Trucks and Buses,55.7,Brisbane,USA,4550,2673.6,1876.8,4550.4
10-02-2004,10219,43,132.62,1998 Chrysler Plymouth Prowler,Classic Cars,101.51,Brisbane,USA,5703,4364.93,1337.73,5702.66
10-02-2004,10219,21,31.12,1958 Chevy Corvette Limited Edition,Classic Cars,15.91,Brisbane,USA,654,334.11,319.41,653.52
10-02-2004,10219,35,47.62,1954 Greyhound Scenicruiser,Trucks and Buses,25.98,Brisbane,USA,1667,909.3,757.4,1666.7
12-02-2004,10220,32,189.1,2001 Ferrari Enzo,Classic Cars,95.59,Dublin,Ireland,6051,3058.88,2992.32,6051.2
12-02-2004,10220,30,151.08,1969 Corvair Monza,Classic Cars,89.14,Dublin,Ireland,4532,2674.2,1858.2,4532.4
12-02-2004,10220,27,166.1,1969 Ford Falcon,Classic Cars,83.05,Dublin,Ireland,4485,2242.35,2242.35,4484.7
12-02-2004,10220,50,126.39,1970 Triumph Spitfire,Classic Cars,91.92,Dublin,Ireland,6320,4596,1723.5,6319.5
12-02-2004,10220,26,48.55,1970 Dodge Coronet,Classic Cars,32.37,Dublin,Ireland,1262,841.62,420.68,1262.3
12-02-2004,10220,37,101.72,1992 Porsche Cayenne Turbo Silver,Classic Cars,69.78,Dublin,Ireland,3764,2581.86,1181.78,3763.64
12-02-2004,10220,20,49.71,1950's Chicago Surface Lines Streetcar,Trains,26.72,Dublin,Ireland,994,534.4,459.8,994.2
12-02-2004,10220,37,92.6,Diamond T620 Semi-Skirted Tanker,Trucks and Buses,68.29,Dublin,Ireland,3426,2526.73,899.47,3426.2
12-02-2004,10220,30,56.82,1962 City of Detroit Streetcar,Trains,37.49,Dublin,Ireland,1705,1124.7,579.9,1704.6
18-02-2004,10221,33,133.86,1903 Ford Model A,Vintage Cars,68.3,Bruxelles,Belgium,4417,2253.9,2163.48,4417.38
18-02-2004,10221,23,89.75,Collectable Wooden Train,Trains,67.56,Bruxelles,Belgium,2064,1553.88,510.37,2064.25
18-02-2004,10221,39,84.26,1904 Buick Runabout,Vintage Cars,52.66,Bruxelles,Belgium,3286,2053.74,1232.4,3286.14
18-02-2004,10221,49,113.06,18th century schooner,Ships,82.34,Bruxelles,Belgium,5540,4034.66,1505.28,5539.94
18-02-2004,10221,23,69.29,The Mayflower,Ships,43.3,Bruxelles,Belgium,1594,995.9,597.77,1593.67
19-02-2004,10222,49,133.28,1972 Alfa Romeo GTA,Classic Cars,85.68,San Diego,USA,6531,4198.32,2332.4,6530.72
19-02-2004,10222,49,137.19,1980s Black Hawk Helicopter,Planes,77.27,San Diego,USA,6722,3786.23,2936.08,6722.31
19-02-2004,10222,49,79.14,1999 Yamaha Speed Boat,Ships,51.61,San Diego,USA,3878,2528.89,1348.97,3877.86
19-02-2004,10222,45,88.93,1941 Chevrolet Special Deluxe Cabriolet,Vintage Cars,64.58,San Diego,USA,4002,2906.1,1095.75,4001.85
19-02-2004,10222,32,56.86,1900s Vintage Bi-Plane,Planes,34.25,San Diego,USA,1820,1096,723.52,1819.52
19-02-2004,10222,47,74.35,1912 Ford Model T Delivery Wagon,Vintage Cars,46.91,San Diego,USA,3494,2204.77,1289.68,3494.45
19-02-2004,10222,43,61.15,1937 Horch 930V Limousine,Vintage Cars,26.3,San Diego,USA,2629,1130.9,1498.55,2629.45
19-02-2004,10222,46,77.99,1940 Ford Delivery Sedan,Vintage Cars,48.64,San Diego,USA,3588,2237.44,1350.1,3587.54
19-02-2004,10222,48,55.27,Corsair F4U ( Bird Cage),Planes,29.34,San Diego,USA,2653,1408.32,1244.64,2652.96
19-02-2004,10222,31,58.67,The Schooner Bluenose,Ships,34,San Diego,USA,1819,1054,764.77,1818.77
19-02-2004,10222,26,80.56,HMS Bounty,Ships,39.83,San Diego,USA,2095,1035.58,1058.98,2094.56
19-02-2004,10222,37,90.75,America West Airlines B757-200,Planes,68.8,San Diego,USA,3358,2545.6,812.15,3357.75
19-02-2004,10222,36,69.39,The USS Constitution Ship,Ships,33.97,San Diego,USA,2498,1222.92,1275.12,2498.04
19-02-2004,10222,38,84.14,The Titanic,Ships,51.09,San Diego,USA,3197,1941.42,1255.9,3197.32
19-02-2004,10222,31,81.43,The Queen Mary,Ships,53.63,San Diego,USA,2524,1662.53,861.8,2524.33
19-02-2004,10222,43,66.63,American Airlines: MD-11S,Planes,36.27,San Diego,USA,2865,1559.61,1305.48,2865.09
19-02-2004,10222,31,45.19,Boeing X-32A JSF,Planes,32.77,San Diego,USA,1401,1015.87,385.02,1400.89
19-02-2004,10222,36,48.59,Pont Yacht,Ships,33.3,San Diego,USA,1749,1198.8,550.44,1749.24
20-02-2004,10223,37,80.39,1969 Harley Davidson Ultimate Chopper,Motorcycles,48.81,Melbourne,Australia,2974,1805.97,1168.46,2974.43
20-02-2004,10223,47,110.61,1996 Moto Guzzi 1100i,Motorcycles,68.99,Melbourne,Australia,5199,3242.53,1956.14,5198.67
20-02-2004,10223,49,189.79,2003 Harley-Davidson Eagle Drag Bike,Motorcycles,91.02,Melbourne,Australia,9300,4459.98,4839.73,9299.71
20-02-2004,10223,47,67.58,P-51-D Mustang,Planes,49,Melbourne,Australia,3176,2303,873.26,3176.26
20-02-2004,10223,28,58.75,1936 Harley Davidson El Knucklehead,Motorcycles,24.23,Melbourne,Australia,1645,678.44,966.56,1645
20-02-2004,10223,32,104.81,1997 BMW R 1100 S,Motorcycles,60.86,Melbourne,Australia,3354,1947.52,1406.4,3353.92
20-02-2004,10223,34,87.54,1928 British Royal Navy Airplane,Planes,66.74,Melbourne,Australia,2976,2269.16,707.2,2976.36
20-02-2004,10223,38,60.94,1960 BSA Gold Star DBD34,Motorcycles,37.32,Melbourne,Australia,2316,1418.16,897.56,2315.72
20-02-2004,10223,23,68.1,1900s Vintage Tri-Plane,Planes,36.23,Melbourne,Australia,1566,833.29,733.01,1566.3
20-02-2004,10223,21,90.9,1997 BMW F650 ST,Motorcycles,66.92,Melbourne,Australia,1909,1405.32,503.58,1908.9
20-02-2004,10223,20,66.73,1928 Ford Phaeton Deluxe,Vintage Cars,33.02,Melbourne,Australia,1335,660.4,674.2,1334.6
20-02-2004,10223,41,41.02,1930 Buick Marquette Phaeton,Vintage Cars,27.06,Melbourne,Australia,1682,1109.46,572.36,1681.82
20-02-2004,10223,25,84.03,American Airlines: B767-300,Planes,51.15,Melbourne,Australia,2101,1278.75,822,2100.75
20-02-2004,10223,29,113.9,ATA: B757-300,Planes,59.33,Melbourne,Australia,3303,1720.57,1582.53,3303.1
20-02-2004,10223,26,79.2,F/A 18 Hornet 1/72,Planes,54.4,Melbourne,Australia,2059,1414.4,644.8,2059.2
21-02-2004,10224,43,141.58,2002 Suzuki XREO,Motorcycles,66.27,Lille,France,6088,2849.61,3238.33,6087.94
21-02-2004,10224,38,57.2,1957 Vespa GS150,Motorcycles,32.95,Lille,France,2174,1252.1,921.5,2173.6
21-02-2004,10224,37,60.26,1982 Ducati 900 Monster,Motorcycles,47.1,Lille,France,2230,1742.7,486.92,2229.62
21-02-2004,10224,43,37.01,1982 Ducati 996 R,Motorcycles,24.14,Lille,France,1591,1038.02,553.41,1591.43
21-02-2004,10224,30,94.91,1974 Ducati 350 Mk3 Desmo,Motorcycles,56.13,Lille,France,2847,1683.9,1163.4,2847.3
21-02-2004,10224,50,81.36,2002 Yamaha YZR M1,Motorcycles,34.17,Lille,France,4068,1708.5,2359.5,4068
22-02-2004,10225,27,157.6,1968 Ford Mustang,Classic Cars,95.34,Genève,Switzerland,4255,2574.18,1681.02,4255.2
22-02-2004,10225,25,101,1968 Dodge Charger,Classic Cars,75.16,Genève,Switzerland,2525,1879,646,2525
22-02-2004,10225,37,64.64,1970 Plymouth Hemi Cuda,Classic Cars,31.92,Genève,Switzerland,2392,1181.04,1210.64,2391.68
22-02-2004,10225,21,100.19,1969 Dodge Charger,Classic Cars,58.73,Genève,Switzerland,2104,1233.33,870.66,2103.99
22-02-2004,10225,32,116.06,1993 Mazda RX-7,Classic Cars,83.51,Genève,Switzerland,3714,2672.32,1041.6,3713.92
22-02-2004,10225,47,71.61,1948 Porsche 356-A Roadster,Classic Cars,53.9,Genève,Switzerland,3366,2533.3,832.37,3365.67
22-02-2004,10225,43,162.57,1992 Ferrari 360 Spider red,Classic Cars,77.9,Genève,Switzerland,6991,3349.7,3640.81,6990.51
22-02-2004,10225,37,69.96,1969 Dodge Super Bee,Classic Cars,49.05,Genève,Switzerland,2589,1814.85,773.67,2588.52
22-02-2004,10225,27,119.06,1976 Ford Gran Torino,Classic Cars,73.49,Genève,Switzerland,3215,1984.23,1230.39,3214.62
22-02-2004,10225,35,135.41,1957 Corvette Convertible,Classic Cars,69.93,Genève,Switzerland,4739,2447.55,2291.8,4739.35
22-02-2004,10225,42,34.74,1982 Lamborghini Diablo,Classic Cars,16.24,Genève,Switzerland,1459,682.08,777,1459.08
22-02-2004,10225,24,51.43,1971 Alpine Renault 1600s,Classic Cars,38.58,Genève,Switzerland,1234,925.92,308.4,1234.32
22-02-2004,10225,40,130.6,1956 Porsche 356A Coupe,Classic Cars,98.3,Genève,Switzerland,5224,3932,1292,5224
22-02-2004,10225,46,77.61,1961 Chevrolet Impala,Classic Cars,32.33,Genève,Switzerland,3570,1487.18,2082.88,3570.06
26-02-2004,10226,38,108.26,1965 Aston Martin DB5,Classic Cars,65.96,San Diego,USA,4114,2506.48,1607.4,4113.88
26-02-2004,10226,24,129.45,1995 Honda Civic,Classic Cars,93.89,San Diego,USA,3107,2253.36,853.44,3106.8
26-02-2004,10226,24,125.4,1999 Indy 500 Monte Carlo SS,Classic Cars,56.76,San Diego,USA,3010,1362.24,1647.36,3009.6
26-02-2004,10226,46,122.91,1948 Porsche Type 356 Roadster,Classic Cars,62.16,San Diego,USA,5654,2859.36,2794.5,5653.86
26-02-2004,10226,21,65.41,1970 Chevy Chevelle SS 454,Classic Cars,49.24,San Diego,USA,1374,1034.04,339.57,1373.61
26-02-2004,10226,36,47.79,1966 Shelby Cobra 427 S/C,Classic Cars,29.18,San Diego,USA,1720,1050.48,669.96,1720.44
26-02-2004,10226,48,95.3,2002 Chevy Corvette,Classic Cars,62.11,San Diego,USA,4574,2981.28,1593.12,4574.4
02-03-2004,10227,25,85.27,1937 Lincoln Berline,Vintage Cars,60.62,Lyon,France,2132,1515.5,616.25,2131.75
02-03-2004,10227,31,50.14,1936 Mercedes-Benz 500K Special Roadster,Vintage Cars,24.26,Lyon,France,1554,752.06,802.28,1554.34
02-03-2004,10227,26,136,1917 Grand Touring Sedan,Vintage Cars,86.7,Lyon,France,3536,2254.2,1281.8,3536
02-03-2004,10227,28,59.93,1911 Ford Town Car,Vintage Cars,33.3,Lyon,France,1678,932.4,745.64,1678.04
02-03-2004,10227,46,118.23,1932 Model A Ford J-Coupe,Vintage Cars,58.48,Lyon,France,5439,2690.08,2748.5,5438.58
02-03-2004,10227,29,146.81,1928 Mercedes-Benz SSK,Vintage Cars,72.56,Lyon,France,4257,2104.24,2153.25,4257.49
02-03-2004,10227,33,99.21,1917 Maxwell Touring Car,Vintage Cars,57.54,Lyon,France,3274,1898.82,1375.11,3273.93
02-03-2004,10227,34,87.43,1932 Alfa Romeo 8C2300 Spider Sport,Vintage Cars,43.26,Lyon,France,2973,1470.84,1501.78,2972.62
02-03-2004,10227,37,70.56,1957 Ford Thunderbird,Classic Cars,34.21,Lyon,France,2611,1265.77,1344.95,2610.72
02-03-2004,10227,42,27.22,1939 Chevrolet Deluxe Coupe,Vintage Cars,22.57,Lyon,France,1143,947.94,195.3,1143.24
02-03-2004,10227,24,39.42,1938 Cadillac V-16 Presidential Limousine,Vintage Cars,20.61,Lyon,France,946,494.64,451.44,946.08
02-03-2004,10227,47,84.51,1949 Jaguar XK 120,Classic Cars,47.25,Lyon,France,3972,2220.75,1751.22,3971.97
02-03-2004,10227,33,102.17,1952 Citroen-15CV,Classic Cars,72.82,Lyon,France,3372,2403.06,968.55,3371.61
02-03-2004,10227,40,78.76,1969 Chevrolet Camaro Z28,Classic Cars,50.51,Lyon,France,3150,2020.4,1130,3150.4
02-03-2004,10227,27,34.88,1936 Mercedes Benz 500k Roadster,Vintage Cars,21.75,Lyon,France,942,587.25,354.51,941.76
10-03-2004,10228,29,214.3,1952 Alpine Renault 1300,Classic Cars,98.58,Cambridge,USA,6215,2858.82,3355.88,6214.7
10-03-2004,10228,32,100.34,1940 Ford Pickup Truck,Trucks and Buses,58.33,Cambridge,USA,3211,1866.56,1344.32,3210.88
10-03-2004,10228,24,101.31,1913 Ford Model T Speedster,Vintage Cars,60.78,Cambridge,USA,2431,1458.72,972.72,2431.44
10-03-2004,10228,45,57.46,1934 Ford V8 Coupe,Vintage Cars,34.35,Cambridge,USA,2586,1545.75,1039.95,2585.7
10-03-2004,10228,31,100.53,18th Century Vintage Horse Carriage,Vintage Cars,60.74,Cambridge,USA,3116,1882.94,1233.49,3116.43
10-03-2004,10228,33,84.73,1936 Chrysler Airflow,Vintage Cars,57.46,Cambridge,USA,2796,1896.18,899.91,2796.09
11-03-2004,10229,50,138.88,1962 LanciaA Delta 16V,Classic Cars,103.42,San Rafael,USA,6944,5171,1773,6944
11-03-2004,10229,25,110.7,1958 Setra Bus,Trucks and Buses,77.9,San Rafael,USA,2768,1947.5,820,2767.5
11-03-2004,10229,36,95.99,1957 Chevy Pickup,Trucks and Buses,55.7,San Rafael,USA,3456,2005.2,1450.44,3455.64
11-03-2004,10229,26,104.32,1964 Mercedes Tour Bus,Trucks and Buses,74.86,San Rafael,USA,2712,1946.36,765.96,2712.32
11-03-2004,10229,28,53.48,1926 Ford Fire Engine,Trucks and Buses,24.92,San Rafael,USA,1497,697.76,799.68,1497.44
11-03-2004,10229,22,157.49,1992 Ferrari 360 Spider red,Classic Cars,77.9,San Rafael,USA,3465,1713.8,1750.98,3464.78
11-03-2004,10229,41,119.87,1940s Ford truck,Trucks and Buses,84.76,San Rafael,USA,4915,3475.16,1439.51,4914.67
11-03-2004,10229,39,43.77,1939 Cadillac Limousine,Vintage Cars,23.14,San Rafael,USA,1707,902.46,804.57,1707.03
11-03-2004,10229,48,115.01,1962 Volkswagen Microbus,Trucks and Buses,61.34,San Rafael,USA,5520,2944.32,2576.16,5520.48
